time	charge	power
687	-nan(ind)	-nan(ind)
688	-nan(ind)	-nan(ind)
689	-nan(ind)	-nan(ind)
690	-nan(ind)	-nan(ind)
691	-nan(ind)	-nan(ind)
692	-nan(ind)	-nan(ind)
693	-nan(ind)	-nan(ind)
694	-nan(ind)	-nan(ind)
695	-nan(ind)	-nan(ind)
696	-nan(ind)	-nan(ind)
697	-nan(ind)	-nan(ind)
698	-nan(ind)	-nan(ind)
699	-nan(ind)	-nan(ind)
700	-nan(ind)	-nan(ind)
701	-nan(ind)	-nan(ind)
702	-nan(ind)	-nan(ind)
703	-nan(ind)	-nan(ind)
704	-nan(ind)	-nan(ind)
705	-nan(ind)	-nan(ind)
706	-nan(ind)	-nan(ind)
707	-nan(ind)	-nan(ind)
708	-nan(ind)	-nan(ind)
709	-nan(ind)	-nan(ind)
710	-nan(ind)	-nan(ind)
711	-nan(ind)	-nan(ind)
712	-nan(ind)	-nan(ind)
713	-nan(ind)	-nan(ind)
714	-nan(ind)	-nan(ind)
715	-nan(ind)	-nan(ind)
716	-nan(ind)	-nan(ind)
717	-nan(ind)	-nan(ind)
718	-nan(ind)	-nan(ind)
719	-nan(ind)	-nan(ind)
720	-nan(ind)	-nan(ind)
721	-nan(ind)	-nan(ind)
722	-nan(ind)	-nan(ind)
723	-nan(ind)	-nan(ind)
724	-nan(ind)	-nan(ind)
725	-nan(ind)	-nan(ind)
726	-nan(ind)	-nan(ind)
727	-nan(ind)	-nan(ind)
728	-nan(ind)	-nan(ind)
729	-nan(ind)	-nan(ind)
730	-nan(ind)	-nan(ind)
731	-nan(ind)	-nan(ind)
732	-nan(ind)	-nan(ind)
733	-nan(ind)	-nan(ind)
734	-nan(ind)	-nan(ind)
735	-nan(ind)	-nan(ind)
736	-nan(ind)	-nan(ind)
737	-nan(ind)	-nan(ind)
738	-nan(ind)	-nan(ind)
739	-nan(ind)	-nan(ind)
740	-nan(ind)	-nan(ind)
741	-nan(ind)	-nan(ind)
742	-nan(ind)	-nan(ind)
743	-nan(ind)	-nan(ind)
744	-nan(ind)	-nan(ind)
745	-nan(ind)	-nan(ind)
746	-nan(ind)	-nan(ind)
747	-nan(ind)	-nan(ind)
748	-nan(ind)	-nan(ind)
749	-nan(ind)	-nan(ind)
750	-nan(ind)	-nan(ind)
751	-nan(ind)	-nan(ind)
752	-nan(ind)	-nan(ind)
753	-nan(ind)	-nan(ind)
754	-nan(ind)	-nan(ind)
755	-nan(ind)	-nan(ind)
756	-nan(ind)	-nan(ind)
757	-nan(ind)	-nan(ind)
758	-nan(ind)	-nan(ind)
759	-nan(ind)	-nan(ind)
760	-nan(ind)	-nan(ind)
761	-nan(ind)	-nan(ind)
762	-nan(ind)	-nan(ind)
763	-nan(ind)	-nan(ind)
764	-nan(ind)	-nan(ind)
765	-nan(ind)	-nan(ind)
766	-nan(ind)	-nan(ind)
767	-nan(ind)	-nan(ind)
768	-nan(ind)	-nan(ind)
769	-nan(ind)	-nan(ind)
770	-nan(ind)	-nan(ind)
771	-nan(ind)	-nan(ind)
772	-nan(ind)	-nan(ind)
773	-nan(ind)	-nan(ind)
774	-nan(ind)	-nan(ind)
